nomor_polisi,jenis_kendaraan,merk,lokasi,keterangan
B 1151 VQ,Micro Bus,Isuzu,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 1618 PQQ,Mini Bus,Toyota New Avanza Veloz,Biro Tata Pemerintahan,
B 1214 PQP,Mini Bus,Isuzu Panther,Biro Tata Pemerintahan,Asal-usul/Cara Perolehan melalui Mutasi BPKAD
B 2664 EQ,Mini Bus,Toyota Kijang,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 2661 EQ,Mini Bus,Toyota Kijang,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 2671 EQ,Mini Bus,Toyota Kijang,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 8322 EQ,Mini Bus,Suzuki Carry,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 2678 EQ,Mini Bus,Toyota Kijang,Biro Pendidikan dan Mental Spiritual,Asal-usul/Cara Perolehan melalui Biro Perlengkapan
B 8567 WU,Minibus,Toyota Corolla Altis,Biro Kesejahteraan Sosial,Asal-usul/Cara Perolehan melalui Hibah BPKAD
B 1801 SQO,Minibus,"Chevrolet Captiva 2,0L AT",Biro Organisasi dan Reformasi Birokrasi,Asal-usul/Cara Perolehan melalui Gudang Pulomas
B 1098 PQH,Mobil Jeep,Toyota Land Cruiser PRADO ,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 1704 PQQ,Mobil Minibus ,Toyota Innova V,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 1156 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 1159 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 1717 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 8597 WU,Mobil Sedan,Toyota Corolla Altis,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 2316 UQ,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi BPKAD BAST No 30/-77.323
B 1726 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 1157 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 1154 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 13.1/-077.323
B 1160 PQA,Mobil Sedan,Toyota Corolla Altis,Biro Administrasi Keuangan dan Aset Setda,Asal-usul/Cara Perolehan melalui Mutasi Biro KDH BAST No 19/-077.323
B 2294 UQ,Mobil Sedan,Toyota New Corolla Altis,Biro Perekonomian,Asal-usul/Cara Perolehan melalui Pembelian
B 6662 PLQ,Motor,Suzuki A100,Biro Perekonomian,Asal-usul/Cara Perolehan melalui Pembelian
B 9085 OQ,Pick Up,Isuzu Panther,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
